SourceTitle,link,TargetTitle
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.cnn.com/2011/TECH/social.media/06/14/twitter.decision.weiner.wired/index.html,http://www.cnn.com/2011/TECH/social.media/06/14/twitter.decision.weiner.wired/index.html
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.washington.edu/news/2011/09/12/new-study-quantifies-use-of-social-media-in-arab-spring/,http://www.washington.edu/news/2011/09/12/new-study-quantifies-use-of-social-media-in-arab-spring/
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://ipwatchdog.com/2011/01/23/don’t-steal-my-avatar-challenges-of-social-networking-patents/id=14531/,"""Mark Nowotarski, ""Do not Steal My Avatar! Challenges of Social Network Patents, IP Watchdog, January 23, 2011"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=0&p=1&f=S&l=50&Query=spec%2F%22social+media%22&d=PG01,"""USPTO search on published patent applications mentioning ""social media,"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=0&p=1&f=S&l=50&Query=spec%2F%22social+media%22&d=PTXT,"""USPTO search on issued patents mentioning ""social media,"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://files.eric.ed.gov/fulltext/EJ991339.pdf,http://files.eric.ed.gov/fulltext/EJ991339.pdf
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.peelschools.org/aboutus/21stCentury/byod/Pages/default.aspx,http://www.peelschools.org/aboutus/21stCentury/byod/Pages/default.aspx
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://eric.ed.gov/?id=EJ972449,http://eric.ed.gov/?id=EJ972449
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://news.nationalpost.com/2011/05/30/can-wikipedia-improve-students-work/,http://news.nationalpost.com/2011/05/30/can-wikipedia-improve-students-work/
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://news.nationalpost.com/2013/04/07/toronto-professor-learns-not-all-editors-are-welcome-on-wikipedia-when-class-assignment-backfires/,http://news.nationalpost.com/2013/04/07/toronto-professor-learns-not-all-editors-are-welcome-on-wikipedia-when-class-assignment-backfires/
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.educause.edu/ecar,http://www.educause.edu/ecar
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://jcmc.indiana.edu/vol13/issue1/hargittai.html,http://jcmc.indiana.edu/vol13/issue1/hargittai.html
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://pewinternet.org/Reports/2013/Social-media-users/Social-Networking-Site-Users/Demo-portrait.aspx,http://pewinternet.org/Reports/2013/Social-media-users/Social-Networking-Site-Users/Demo-portrait.aspx
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.pearsonlearningsolutions.com/assets/downloads/pdfs/pearson-social-media-survey-2012-color.pdf,http://www.pearsonlearningsolutions.com/assets/downloads/pdfs/pearson-social-media-survey-2012-color.pdf
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.independent.co.uk/news/media/advertising/style-over-substance-wayne-rooney-cleared-of-nike-twitter-plug-8797109.html,"""Style over substance: Wayne Rooney cleared of Nike Twitter plug"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.marketingweek.co.uk/news/nike-rooney-twitter-promo-escapes-censure/4007808.article,http://www.marketingweek.co.uk/news/nike-rooney-twitter-promo-escapes-censure/4007808.article
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.salihsarikaya.com/en/social-media-ban-in-turkey-what-does-it-mean-by-salih-sarikaya/,"""Social Media Ban In Turkey: What Does It Mean? by Salih Sarıkaya"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.brisbanetimes.com.au/national/social-media-users-could-be-charged-for-sharing-wikileaks-story-20140730-zye0b.html,"""Social media users could be charged for sharing Wikileaks story"""
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.webexhibits.org/pigments/intro/early.html,http://www.webexhibits.org/pigments/intro/early.html
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.metmuseum.org/toah/hd/lasc/hd_lasc.htm,http://www.metmuseum.org/toah/hd/lasc/hd_lasc.htm
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://books.slashdot.org/story/12/08/13/1315256/book-review-navigating-social-media-legal-risks/,
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.amazon.co.uk/Smart-Mobs-Next-Social-Revolution/dp/0738206083,
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.amazon.co.uk/Six-Degrees-Science-Connected-Age/dp/0099444968,
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.webexhibits.org/pigments/intro/early.html,http://www.webexhibits.org/pigments/intro/early.html
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.metmuseum.org/toah/hd/lasc/hd_lasc.htm,http://www.metmuseum.org/toah/hd/lasc/hd_lasc.htm
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.fbi.gov/stats-services/publications/law-enforcement-bulletin/2013/february/social-media-establishing-criteria-for-law-enforcement-use?utm_campaign=email-Immediate&utm_content=175293,Social Media: Establishing Criteria for Law Enforcement Use
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://www.wileyonlinelibrary.com/subject/code/000037/homepage/museum_of_social_media__home.htm,The Museum of Social Media
"<title>Social media - Wikipedia, the free encyclopedia</title>",https://www.academia.edu/3248766/Social_Networks_Scopophilic_dimension_-_social_belonging_through_spectatorship,https://www.academia.edu/3248766/Social_Networks_Scopophilic_dimension_-_social_belonging_through_spectatorship
"<title>Social media - Wikipedia, the free encyclopedia</title>",http://en.wikipedia.org/w/index.php?title=Social_media&oldid=636325794,http://en.wikipedia.org/w/index.php?title=Social_media&oldid=636325794
"<title>Social media - Wikipedia, the free encyclopedia</title>",https://donate.wikimedia.org/wiki/Special:FundraiserRedirector?utm_source=donate&utm_medium=sidebar&utm_campaign=C13_en.wikipedia.org&uselang=en,Donate to Wikipedia
"<title>Social media - Wikipedia, the free encyclopedia</title>",https://www.mediawiki.org/wiki/Special:MyLanguage/How_to_contribute,Developers
